scenario,fips,pr_pipc_2015,pr_pipc_2020,pr_pipc_2025,pr_pipc_2030,pr_pipc_2035,pr_pipc_2040,pr_pipc_2045,pr_pipc_2050,pr_pipc_2055,pr_pipc_2060,pr_pipc_2065,pr_pipc_2070
SSP3,48031,45.011,46.888,48.941,51.505,54.246,57.238,59.986,63.177,66.062,69.504,72.576,75.468
SSP3,48033,50.047,52.144,54.359,57.028,59.833,62.849,65.600,68.775,71.636,75.054,78.086,80.933
SSP3,48035,33.530,35.638,37.710,40.148,42.680,45.408,47.868,50.758,53.341,56.489,59.265,61.868
SSP3,48037,35.898,37.999,40.072,42.515,45.051,47.779,50.238,53.126,55.707,58.854,61.625,64.224
SSP3,48039,37.919,39.556,41.257,43.390,45.682,48.260,50.624,53.466,56.025,59.150,61.944,64.583
SSP3,48041,30.798,32.771,34.705,37.001,39.388,41.964,44.277,47.021,49.465,52.481,55.121,57.597
SSP3,48043,39.090,41.128,43.261,45.838,48.549,51.467,54.123,57.204,59.975,63.307,66.255,69.022
SSP3,48045,36.052,38.054,40.064,42.468,44.980,47.690,50.135,53.010,55.581,58.718,61.480,64.069
SSP3,48047,29.987,31.720,33.535,35.799,38.209,40.852,43.249,46.089,48.631,51.742,54.489,57.067
SSP3,48049,32.598,34.632,36.642,39.026,41.507,44.182,46.589,49.424,51.956,55.055,57.780,60.335
SSP3,48051,36.204,38.307,40.443,42.989,45.652,48.519,51.120,54.148,56.867,60.147,63.048,65.771
SSP3,48053,40.270,42.229,44.243,46.678,49.246,52.047,54.599,57.595,60.291,63.549,66.448,69.177
SSP3,48055,27.832,29.874,31.838,34.138,36.525,39.118,41.451,44.225,46.701,49.746,52.434,54.957
SSP3,48057,33.030,35.023,36.988,39.329,41.771,44.409,46.783,49.589,52.092,55.165,57.866,60.397
SSP3,48059,33.862,35.911,37.953,40.379,42.910,45.638,48.099,50.989,53.574,56.724,59.499,62.101
SSP3,48061,24.928,26.712,28.461,30.575,32.786,35.199,37.363,39.968,42.281,45.170,47.690,50.057
SSP3,48063,34.702,37.023,39.256,41.818,44.450,47.259,49.787,52.737,55.374,58.574,61.395,64.040
SSP3,48065,41.366,42.999,44.815,47.146,49.654,52.401,54.905,57.851,60.497,63.710,66.549,69.213
SSP3,48067,33.333,35.399,37.438,39.850,42.360,45.066,47.505,50.373,52.936,56.064,58.819,61.402
SSP3,48069,41.986,43.753,45.604,47.881,50.290,52.914,55.284,58.091,60.599,63.678,66.387,68.926
SSP3,48071,45.440,46.995,48.820,51.217,53.848,56.793,59.529,62.735,65.644,69.107,72.223,75.161
SSP3,48073,30.598,32.769,34.834,37.220,39.677,42.317,44.686,47.484,49.977,53.038,55.729,58.252
SSP3,48075,26.592,28.480,30.275,32.405,34.618,37.020,39.158,41.732,44.011,46.868,49.361,51.693
SSP3,48077,42.836,44.414,46.203,48.530,51.047,53.810,56.333,59.299,61.966,65.200,68.058,70.742
SSP3,48079,40.919,42.684,44.603,47.000,49.554,52.333,54.860,57.823,60.482,63.707,66.556,69.228
SSP3,48081,32.601,34.801,36.937,39.428,42.006,44.769,47.259,50.174,52.780,55.950,58.744,61.363
SSP3,48083,32.454,34.531,36.578,38.997,41.513,44.224,46.666,49.537,52.102,55.234,57.991,60.576
SSP3,48085,51.328,53.966,56.461,59.223,62.008,64.955,67.625,70.707,73.471,76.777,79.692,82.446
SSP3,48087,35.419,37.793,40.119,42.779,45.512,48.419,51.044,54.085,56.811,60.095,62.996,65.718
SSP3,48089,38.565,40.686,42.835,45.391,48.060,50.928,53.528,56.554,59.270,62.547,65.443,68.161
SSP3,48091,43.735,45.766,47.831,50.303,52.900,55.723,58.293,61.303,64.008,67.272,70.171,72.897
SSP3,48093,35.187,37.247,39.321,41.789,44.365,47.139,49.645,52.580,55.207,58.399,61.213,63.853
SSP3,48095,24.681,26.588,28.426,30.607,32.875,35.335,37.531,40.162,42.496,45.406,47.951,50.332
SSP3,48097,43.140,44.943,46.917,49.394,52.044,54.937,57.585,60.676,63.463,66.811,69.789,72.589
SSP3,48099,36.788,38.333,40.046,42.257,44.639,47.263,49.647,52.478,55.014,58.122,60.860,63.431
SSP3,48101,38.181,40.385,42.627,45.267,48.014,50.955,53.624,56.716,59.493,62.830,65.782,68.554
SSP3,48103,33.562,35.417,37.276,39.536,41.910,44.490,46.811,49.568,52.026,55.055,57.716,60.208
SSP3,48105,34.143,35.878,37.662,39.877,42.224,44.785,47.093,49.840,52.290,55.313,57.967,60.454
